Accounts Payable,Accounts Receivable,Add'l income/expense items,After Tax ROE,Capital Expenditures,Cash Ratio,Cash and Cash Equivalents,Changes in Inventories,Common Stocks,Current Ratio,Depreciation,Earnings Before Interest and Tax,Earnings Before Tax,Fixed Assets,Gross Margin,Gross Profit,Income Tax,Intangible Assets,Inventory,Liabilities,Long-Term Debt,Net Borrowings,Net Cash Flow,Net Cash Flow-Operating,Net Cash Flows-Financing,Net Cash Flows-Investing,Net Income,Net Income Adjustments,Net Income Applicable to Common Shareholders,Net Income-Cont. Operations,Net Receivables,Operating Income,Operating Margin,Other Assets,Other Current Assets,Other Equity,Other Financing Activities,Other Investing Activities,Other Liabilities,Other Operating Activities,Pre-Tax Margin,Pre-Tax ROE,Profit Margin,Quick Ratio,Retained Earnings,Sale and Purchase of Stock,"Sales, General and Admin.",Total Assets,Total Current Assets,Total Current Liabilities,Total Equity,Total Liabilities,Total Liabilities & Equity,For Year,Earnings Per Share,Estimated Shares Outstanding,Total Revenue
60671000000,-3124000000,1285000000,45,-11247000000,52,21120000000,-238000000,27416000000,111,11257000000,72515000000,72515000000,22471000000,40,93626000000,19121000000,3893000000,2349000000,15188000000,53329000000,29305000000,7276000000,81266000000,-17716000000,-56274000000,53394000000,4968000000,53394000000,53394000000,30343000000,71230000000,30,5422000000,15085000000,-345000000,-1499000000,-610000000,33427000000,-179000000,31,61,23,108,92284000000,-34710000000,14329000000,2.90E+11,89378000000,80610000000,1.19E+11,1.71E+11,2.90E+11,2015,9.28,5753663793,2.34E+11
59321000000,1044000000,1348000000,36,-12734000000,85,20484000000,217000000,31251000000,135,10505000000,61372000000,61372000000,27010000000,39,84263000000,15685000000,3206000000,2132000000,-1867000000,75427000000,22057000000,-636000000,65824000000,-20483000000,-45977000000,45687000000,9148000000,45687000000,45687000000,29299000000,60024000000,28,8757000000,8283000000,634000000,-1570000000,-1221000000,36074000000,1090000000,28,48,21,133,96364000000,-29227000000,14194000000,3.22E+11,1.07E+11,79006000000,1.28E+11,1.93E+11,3.22E+11,2016,8.35,5471497006,2.16E+11
5734000000,223000000,-8000000,1507,-333000000,118,5901000000,-203000000,0,227,1150000000,5809000000,5725000000,2247000000,75,13872000000,450000000,2323000000,1091000000,-731000000,14630000000,15586000000,5874000000,6345000000,1931000000,-2418000000,5275000000,541000000,5275000000,5275000000,4967000000,5817000000,32,835000000,1320000000,-350000000,-13655000000,-688000000,2239000000,90000000,31,1636,29,210,0,0,4989000000,27008000000,15354000000,6776000000,-350000000,27358000000,27008000000,,,,18380000000
6448000000,681000000,-54000000,92,-491000000,144,9595000000,-56000000,16000000,259,897000000,5610000000,5332000000,2298000000,76,14209000000,1204000000,1890000000,1150000000,-426000000,14292000000,-601000000,3694000000,6267000000,-3442000000,879000000,4128000000,584000000,4128000000,4128000000,5569000000,5664000000,30,767000000,1234000000,-442000000,-313000000,-405000000,3535000000,459000000,28,119,22,243,1567000000,27000000,5352000000,29198000000,17848000000,6879000000,4492000000,24706000000,29198000000,2013,2.58,1600000000,18790000000
6954000000,-172000000,-651000000,102,-612000000,74,8348000000,-203000000,16000000,141,786000000,2760000000,2369000000,2485000000,78,15534000000,595000000,1513000000,1124000000,-193000000,10538000000,-5000000,-1247000000,3549000000,-3293000000,-926000000,1774000000,1777000000,1774000000,1774000000,4631000000,3411000000,17,1480000000,1952000000,-2031000000,-59000000,-622000000,3681000000,-220000000,12,136,9,131,535000000,-427000000,8474000000,27513000000,16081000000,11393000000,1742000000,25771000000,27513000000,2014,1.11,1598198198,19960000000
8463000000,-1076000000,-206000000,130,-532000000,77,8399000000,-434000000,17000000,150,836000000,7331000000,6645000000,2565000000,80,18359000000,1501000000,19709000000,1719000000,1503000000,29240000000,16623000000,51000000,7535000000,5752000000,-12936000000,5144000000,1051000000,5144000000,5144000000,4730000000,7537000000,33,1149000000,1458000000,-2561000000,30000000,-12433000000,3695000000,511000000,29,168,23,134,2248000000,-7425000000,6387000000,53050000000,16314000000,10894000000,3945000000,49105000000,53050000000,2015,3.15,1633015873,22859000000
14870635000,-2312518000,-44000,19,-202450000,8,1231006000,-1486572000,2678000,97,170793000,898355000,824458000,803561000,3,2507819000,331023000,3499713000,6981494000,3830847000,1396606000,0,164398000,788125000,-740987000,117260000,433707000,235476000,433707000,493435000,6051920000,898399000,1,221713000,129231000,-35483000,-50538000,319710000,331652000,-169745000,1,36,0,50,1508414000,-328463000,1447234000,18918638000,14393651000,14870635000,2319745000,16598893000,18918638000,2013,1.88,230695212.8,87959167000
17250160000,-938286000,-28594000,14,-264457000,10,1808513000,-1304569000,2711000,97,196617000,753497000,669863000,899582000,2,2982366000,388087000,3481744000,8593852000,2310596000,1995632000,566402000,577507000,1464654000,-502992000,-384155000,274230000,912505000,274230000,281776000,6312883000,782091000,1,350652000,84957000,-52046000,0,-1904000,88287000,21107000,1,34,0,48,1570429000,-626020000,2011595000,21532183000,16800205000,17250160000,1956899000,19575284000,21532183000,2014,1.22,224778688.5,1.20E+11
21578227000,-1478793000,-44220000,22,-231585000,10,2167442000,-1379189000,2750000,94,255988000,378000000,268964000,1192510000,3,3529313000,407129000,1993119000,9755094000,5122127000,3739225000,1496390000,358929000,3922228000,-632134000,-2931165000,-138165000,1577391000,-138165000,-138165000,8222951000,422220000,0,298474000,189001000,-136333000,0,-2613366000,84904000,-37131000,0,44,0,49,1164489000,-1665115000,2858458000,27962982000,20334488000,21578227000,616386000,27346596000,27962982000,2015,-0.62,222846774.2,1.36E+11
24670159000,-912724000,5048000,67,-464616000,11,2741832000,-1107252000,2778000,90,392166000,1530822000,1390910000,1530682000,3,4272606000,-37019000,2967849000,10723920000,3094340000,3870244000,713214000,574390000,3178497000,565072000,-3169179000,1427929000,330197000,1427929000,1427929000,9175876000,1525774000,1,314325000,210219000,-114308000,0,-2745275000,160470000,-46159000,1,65,1,48,2303941000,168903000,2382097000,33656200000,22851847000,25281308000,2129404000,31526796000,33656200000,2016,6.73,212173699.9,1.47E+11
10889000000,36000000,-1260000000,22,-1795000000,114,10802000000,-417000000,11755000000,236,2782000000,100000000,-220000000,8063000000,53,10151000000,-457000000,8588000000,3793000000,-1443000000,18085000000,4413000000,3989000000,9314000000,195000000,-5560000000,5963000000,2428000000,5963000000,237000000,10599000000,1360000000,7,0,1757000000,-3594000000,-521000000,-703000000,9057000000,-35000000,1,1,31,207,24151000000,-514000000,6735000000,67235000000,31323000000,13280000000,26721000000,40514000000,67235000000,2012,3.76,1585904255,19050000000
5948000000,-113000000,53000000,10,-1145000000,85,3475000000,-154000000,12048000000,202,1719000000,2186000000,2041000000,5971000000,53,10464000000,53000000,5735000000,2693000000,-1101000000,3388000000,1792000000,-7327000000,3324000000,-6696000000,-3929000000,2576000000,266000000,2576000000,1988000000,6514000000,2133000000,11,0,1942000000,-2012000000,-6396000000,-559000000,4791000000,131000000,10,8,13,174,21979000000,-1210000000,6372000000,42953000000,19247000000,9507000000,25171000000,17782000000,42953000000,2013,1.64,1570731707,19657000000
5350000000,-195000000,69000000,11,-1077000000,43,4063000000,-297000000,12383000000,130,1548000000,2668000000,2518000000,7869000000,54,11029000000,797000000,6198000000,2643000000,-28000000,3393000000,766000000,588000000,3675000000,-2742000000,-202000000,2284000000,333000000,2284000000,1721000000,3586000000,2599000000,13,0,2867000000,-5053000000,-400000000,-3242000000,5708000000,30000000,12,12,11,104,22874000000,-1766000000,6530000000,41207000000,13556000000,10467000000,21526000000,19681000000,41207000000,2014,1.5,1522666667,20247000000
5683000000,-171000000,479000000,21,-1110000000,67,5001000000,-257000000,12734000000,154,1472000000,3346000000,3183000000,5732000000,57,11658000000,577000000,5562000000,2599000000,215000000,5871000000,1147000000,938000000,2966000000,-2236000000,406000000,4423000000,-2773000000,4423000000,2606000000,3418000000,2867000000,14,0,2013000000,-6658000000,-17000000,2337000000,4864000000,57000000,16,15,22,126,25757000000,-1923000000,6785000000,41247000000,14155000000,9186000000,21211000000,20036000000,41247000000,2015,2.94,1504421769,20405000000
729257000,33649000,926000,4,-188358000,208,834556000,0,61000,265,321227000,423649000,356141000,659774000,86,3468683000,66156000,605254000,0,184502000,1499297000,-176000,-590496000,1151686000,-559138000,-1177803000,289985000,377832000,289985000,289985000,702067000,422723000,10,90121000,170110000,46103000,0,-680329000,201817000,-55509000,9,5,7,265,6928964000,-599224000,2140578000,10380298000,4045929000,1525648000,6724634000,3655664000,10380298000,2013,0.58,499974137.9,4055240000
776163000,7928000,8423000,4,-148332000,150,1117400000,0,61000,185,313590000,421108000,361376000,785123000,85,3524985000,92981000,469662000,0,390070000,911086000,-14684000,282844000,1287482000,-507283000,-490707000,268395000,309417000,268395000,268395000,687079000,412685000,10,126315000,175758000,-8094000,0,-29802000,204687000,-1918000,9,5,6,185,6924294000,-545834000,2195640000,10785829000,4602328000,2494435000,6775905000,4009924000,10785829000,2014,0.54,497027777.8,4147065000
779356000,-79502000,34870000,9,-184936000,180,876560000,0,61000,218,339473000,937965000,873781000,787421000,84,4051194000,244230000,510007000,0,350908000,1907231000,387091000,-240840000,1469502000,-200687000,-1488358000,629551000,236773000,629551000,629551000,672006000,903095000,19,159832000,161802000,-169080000,0,-768225000,344802000,-7701000,18,12,13,218,7253431000,-647103000,2215161000,11726472000,4821892000,2213556000,7001580000,4724892000,11726472000,2015,1.26,499643650.8,4795511000
866016000,-160416000,11978000,16,-203805000,169,1011315000,0,61000,208,331535000,1505580000,1435138000,816264000,86,5034522000,266356000,414405000,0,551550000,1902068000,-108000,134755000,2199728000,-1090706000,-960033000,1168782000,379298000,1168782000,1168782000,833033000,1493602000,26,149758000,245441000,-173602000,0,-48427000,281785000,-71021000,25,19,20,208,8114517000,-1165703000,2487907000,12707114000,5839774000,2811635000,7424835000,5282279000,12707114000,,,,5854430000
323084000,12377000,89350000,14,-123074000,821,392089000,28527000,51842000,959,110416000,842425000,815323000,508171000,64,1692411000,141836000,28552000,283337000,129162000,872241000,40982000,-136744000,912345000,-100557000,-949926000,673487000,-52408000,673487000,673487000,461443000,753075000,29,41084000,44733000,-80546000,-8455000,91868000,176020000,10784000,31,17,26,910,4056401000,245748000,396233000,6381750000,5472425000,570512000,4739576000,1642174000,6381750000,2013,2.19,307528310.5,2633689000
430621000,-36460000,11645000,13,-177913000,404,569233000,24642000,51869000,538,141970000,764129000,729345000,622422000,64,1830188000,100025000,671402000,367927000,151692000,872789000,0,177144000,871602000,-576610000,-114751000,629320000,-44707000,629320000,629320000,525539000,752484000,26,49786000,51952000,-168526000,11616000,-1957942000,263047000,5145000,25,15,22,486,4231496000,-156232000,454676000,6859690000,3811886000,709056000,4757897000,2101793000,6859690000,2014,0.35,1798057143,2864773000
438904000,-71198000,6303000,14,-153960000,272,884353000,-35557000,52011000,366,222240000,837144000,810114000,644110000,66,2259262000,113236000,583517000,412314000,89394000,495341000,0,315120000,907798000,-571603000,-17125000,696878000,-1366000,696878000,696878000,595768000,830841000,24,40561000,42538000,-50851000,-1267000,-15340000,125763000,7407000,24,16,20,329,4437315000,-104322000,702644000,7058777000,4079548000,1113585000,5072959000,1985818000,7058777000,2015,0.31,2247993548,3435092000
431396000,-9392000,17566000,17,-127397000,518,921132000,38221000,51363000,635,209790000,1045678000,956921000,636116000,65,2227173000,95257000,549368000,376555000,101593000,1732177000,857175000,36779000,1280895000,-22917000,-1218270000,861664000,88952000,861664000,861664000,477609000,1028112000,30,46721000,64906000,-73814000,-8787000,-101690000,153466000,-9933000,28,19,25,587,4785799000,-308565000,461438000,7970278000,4974863000,782934000,5165618000,2804660000,7970278000,2016,0.96,897566666.7,3421409000
9308000000,1753000000,235000000,7,-1240000000,35,5352000000,-1304000000,6134000000,175,869000000,2426000000,1981000000,10123000000,4,3623000000,589000000,759000000,13836000000,1345000000,6456000000,437000000,850000000,2332000000,-321000000,-1161000000,1375000000,156000000,1375000000,1851000000,3450000000,1715000000,2,605000000,6548000000,-450000000,-197000000,524000000,1289000000,-1879000000,2,10,2,94,13236000000,-100000000,1665000000,45136000000,29762000000,16993000000,18920000000,26005000000,44925000000,,,,90559000000
14135000000,296000000,155000000,7,-913000000,48,7082000000,2541000000,6136000000,182,909000000,2437000000,2024000000,10137000000,4,3889000000,670000000,561000000,11441000000,191000000,5347000000,-2713000000,1407000000,5226000000,-3242000000,-577000000,1342000000,30000000,1342000000,1753000000,3224000000,1871000000,2,478000000,6350000000,-57000000,73000000,232000000,1105000000,-95000000,2,10,1,109,14077000000,-101000000,1759000000,43752000000,28530000000,15658000000,20156000000,23558000000,43714000000,2013,2.03,661083743.8,89804000000
15240000000,425000000,339000000,11,-894000000,42,5976000000,1274000000,5115000000,167,894000000,3467000000,3130000000,9851000000,6,4768000000,877000000,3392000000,9374000000,1276000000,5528000000,-1708000000,-2022000000,4962000000,-3577000000,-3407000000,2248000000,-445000000,2248000000,2620000000,2704000000,2756000000,3,349000000,7459000000,-1241000000,95000000,-2408000000,1575000000,-715000000,4,16,3,107,15701000000,-1340000000,1907000000,43997000000,26028000000,15602000000,19575000000,24367000000,43942000000,2014,3.44,653488372.1,81201000000
13407000000,913000000,392000000,10,-1125000000,49,6124000000,872000000,3180000000,162,882000000,2592000000,2284000000,9853000000,6,4020000000,438000000,3688000000,8243000000,-1693000000,5779000000,240000000,-189000000,2481000000,-2649000000,-21000000,1849000000,-496000000,1849000000,2239000000,1738000000,1810000000,3,447000000,5286000000,-2146000000,-162000000,1069000000,1395000000,157000000,3,13,3,101,16865000000,-2040000000,2010000000,40157000000,21829000000,13505000000,17899000000,22242000000,40141000000,2015,2.99,618394648.8,67702000000
490095000,-49219000,0,80,-116455000,28,1386042000,0,950000,181,274263000,974364000,682904000,253028000,34,1249299000,260648000,582874000,0,90743000,4708486000,2334253000,677139000,1134190000,2209019000,-2671350000,422256000,438242000,422256000,422256000,7575052000,974364000,27,251014000,171049000,-21861000,-22000,-1165125000,1259297000,-42095000,19,129,12,181,1553260000,-105144000,108059000,12000139000,9132143000,5032777000,528487000,11471652000,12000139000,2012,8.44,50030331.75,3641390000
472326000,-33414000,0,58,-135376000,33,1480171000,0,983000,230,307288000,1098912000,793412000,299188000,33,1424146000,297242000,460404000,0,5520000,6002708000,928674000,76470000,1003492000,704152000,-1619416000,496170000,447854000,496170000,496170000,8680730000,1098912000,25,345666000,239941000,-18227000,-22000,-30877000,1426785000,-219926000,18,93,11,230,2049430000,-216995000,109115000,13244257000,10400842000,4512498000,855761000,12388496000,13244257000,2013,10.09,49174430.13,4319063000
914058000,-156003000,0,21,-158694000,25,1597492000,0,1117000,219,349810000,1098467000,837941000,559628000,31,1658961000,321801000,1515994000,0,188052000,8134248000,3808137000,107330000,1344159000,3516146000,-4737121000,506293000,590220000,506293000,506293000,11635875000,1098467000,21,507931000,581409000,-75453000,-1476000,-2199219000,2335318000,-144060000,16,35,10,219,2540948000,-269555000,247412000,20263977000,13814776000,6305483000,2396380000,17867597000,20263977000,2014,8.72,58061123.85,5302940000
1010619000,8307000,0,30,-191683000,25,1624601000,0,1121000,254,524467000,1261860000,931676000,576706000,30,1957046000,326248000,1203745000,0,98026000,10136018000,3009130000,90885000,1705841000,1772901000,-3362548000,596541000,638239000,596541000,596541000,14052456000,1261860000,20,576267000,573360000,-137251000,-205928000,-271833000,2925426000,-168626000,14,46,9,254,3092464000,-1020923000,203046000,22421830000,16250417000,6405559000,2010030000,20411800000,22421830000,2015,8.91,66951851.85,6439746000
396700000,-98100000,0,12,-56400000,187,1612200000,0,1449800000,245,127800000,310000000,310000000,114900000,90,2073700000,62600000,76000000,0,85000000,745600000,745600000,455300000,559100000,541400000,-647200000,247400000,194000000,247400000,247400000,537300000,305900000,13,159700000,60800000,-5700000,-6100000,-290800000,288300000,3000000,13,15,11,245,599100000,-211000000,1081800000,4308400000,2552400000,1043700000,2043200000,2265200000,4308400000,2013,1.09,226972477.1,2312200000
375300000,72300000,0,10,-64200000,212,1853000000,0,1637300000,265,128900000,284800000,279900000,130300000,88,1999600000,51100000,63100000,0,46400000,746400000,0,240800000,563500000,-126500000,-194000000,228800000,70400000,228800000,228800000,480500000,284800000,13,148300000,87400000,-600000,-24600000,-194700000,311200000,16700000,12,12,10,265,624800000,-111000000,1054400000,4595000000,2835000000,1071500000,2261500000,2333500000,4595000000,2014,1.02,224313725.5,2273900000
499300000,-17300000,0,4,-75500000,145,1410600000,0,1773100000,191,145900000,120700000,83000000,159200000,86,2170100000,1200000,86500000,0,376000000,743100000,0,-442400000,708100000,-239900000,-905600000,81800000,165600000,81800000,81800000,544000000,120700000,5,163500000,100900000,-53300000,-43400000,-634000000,291000000,-43900000,3,4,3,191,499400000,-197000000,1281300000,4909700000,2671300000,1400100000,2219200000,2690500000,4909700000,2015,0.36,227222222.2,2512200000
522100000,-195500000,0,20,-72400000,141,1353000000,0,1821500000,188,145800000,1300000,-20300000,169300000,85,2133400000,310200000,70800000,0,385400000,1487700000,748300000,-57600000,414000000,343200000,-809500000,-330500000,408100000,-330500000,-330500000,653600000,1300000,0,205600000,88600000,-121100000,-57900000,-193000000,299000000,700000,1,1,13,188,-80800000,-347200000,1308900000,5515300000,2993100000,1591000000,1619600000,3895700000,5515300000,2016,-1.46,226369863,2504100000
671000000,30000000,33000000,15,-1063000000,7,184000000,-28000000,2000000,134,736000000,1221000000,829000000,15348000000,40,2304000000,307000000,14000000,570000000,-56000000,5802000000,-26000000,-46000000,1690000000,-426000000,-1310000000,-974000000,2025000000,-974000000,522000000,886000000,1188000000,21,2453000000,1956000000,-8000000,-12000000,-228000000,3076000000,-43000000,14,13,17,113,1006000000,-16000000,443000000,22230000000,3596000000,2686000000,6616000000,15614000000,22230000000,2012,-4.01,242892768.1,5781000000
947000000,-60000000,43000000,5,-1379000000,1,30000000,60000000,2000000,80,761000000,1227000000,829000000,16205000000,40,2348000000,311000000,0,526000000,-156000000,5504000000,247000000,-179000000,1693000000,-149000000,-1723000000,295000000,703000000,295000000,518000000,1010000000,1184000000,20,1960000000,406000000,3000000,-2000000,-327000000,2540000000,90000000,14,13,5,59,907000000,-2000000,458000000,21042000000,1972000000,2461000000,6544000000,14498000000,21042000000,2013,1.19,247899159.7,5838000000
842000000,31000000,57000000,9,-1785000000,0,5000000,3000000,2000000,75,813000000,1311000000,970000000,17424000000,41,2467000000,377000000,0,524000000,-72000000,6085000000,547000000,-25000000,1551000000,141000000,-1717000000,592000000,413000000,592000000,593000000,769000000,1254000000,21,2211000000,396000000,-9000000,-10000000,76000000,2951000000,-229000000,16,14,10,52,1103000000,-11000000,468000000,22289000000,1694000000,2249000000,6713000000,15576000000,22289000000,2014,2.42,244628099.2,6053000000
909000000,83000000,44000000,9,-1917000000,14,292000000,-14000000,2000000,92,896000000,1303000000,948000000,18799000000,43,2597000000,363000000,0,538000000,-91000000,6880000000,664000000,287000000,2017000000,246000000,-1976000000,636000000,367000000,636000000,585000000,725000000,1259000000,21,1957000000,362000000,-3000000,-10000000,-57000000,3103000000,140000000,16,14,10,66,1331000000,-12000000,542000000,23640000000,1917000000,2093000000,6946000000,16694000000,23640000000,2015,2.6,244615384.6,6098000000
2185000000,-16000000,154000000,8,-3025000000,10,355000000,-224000000,3289000000,67,1918000000,2810000000,1822000000,38763000000,57,8550000000,604000000,0,1519000000,191000000,15586000000,473000000,58000000,3804000000,-355000000,-3391000000,1259000000,676000000,1259000000,1259000000,1871000000,2656000000,18,7223000000,520000000,-337000000,5000000,-186000000,6315000000,-3000000,12,12,8,45,6236000000,83000000,3812000000,54367000000,4589000000,6823000000,15237000000,39130000000,54367000000,2012,2.6,484230769.2,14945000000
2333000000,22900000,160800000,9,-3616400000,9,188000000,119200000,3303000000,71,1843100000,2983300000,2093300000,40997000000,55,8091200000,677700000,0,1423000000,117700000,16828000000,317000000,-161200000,4096200000,-438700000,-3817800000,1484200000,493700000,1480500000,1473900000,1860000000,2822500000,19,6749000000,486000000,-115000000,115400000,-161200000,5944000000,14500000,14,13,10,47,6766000000,83200000,3329800000,56414000000,4310000000,6112000000,16085000000,40329000000,56414000000,2013,3.04,488223684.2,14813500000
2360000000,-60300000,143500000,10,-4130000000,8,257700000,100800000,3313300000,56,2041800000,3270900000,2402900000,43635100000,53,8692900000,902600000,0,1316600000,162800000,16012000000,767400000,45000000,4602400000,-150900000,-4405900000,1638000000,739900000,1633800000,1590500000,1835200000,3127400000,19,6857700000,683000000,-103100000,5700000,-123800000,6822600000,-21200000,15,14,10,40,7406600000,73600000,3667900000,59544600000,4478100000,7966600000,16820200000,42724400000,59544600000,2014,3.34,490419161.7,16378600000
2624000000,200200000,163300000,11,-4508000000,9,283700000,-38600000,3324000000,57,2154700000,3496800000,2622900000,46133200000,55,9019700000,919600000,0,1339400000,87600000,17740900000,393700000,13900000,4748700000,-661700000,-4564000000,2052300000,319200000,2047100000,1768600000,1640500000,3333500000,20,6890200000,422000000,-127100000,-78000000,4000000,6125900000,464200000,16,15,12,38,8398300000,81600000,3676500000,61683100000,4072400000,7108500000,17891700000,43791400000,61683100000,,,,16453200000
176378000,-2108000,7104000,9,-166773000,216,201989000,0,2015000,359,204163000,321591000,321591000,345091000,61,844047000,117602000,84554000,0,59946000,0,0,-357208000,530020000,-108029000,-779110000,203989000,61438000,203989000,203989000,239199000,314487000,23,39811000,51604000,-1640000,-34690000,-390060000,49364000,2592000,23,14,15,359,-2225702000,-96354000,433448000,2600627000,728384000,202944000,2345754000,254873000,2600627000,2012,1.15,177381739.1,1373947000
224095000,-67184000,5586000,11,-187964000,256,333891000,0,1808000,391,184431000,419554000,419554000,450287000,68,1066835000,126067000,77429000,0,52080000,0,0,131902000,563908000,-115243000,-313108000,293487000,101602000,293487000,293487000,293722000,413968000,26,67536000,62096000,-2091000,-41332000,-105394000,57152000,-508000,27,16,19,391,-1932215000,-96712000,535598000,2957685000,1029714000,263166000,2629431000,328254000,2957685000,2013,1.65,177870909.1,1577922000
